Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_CMS_Certification_Number__CCN_,USER_Facility_Name,USER_Address_Line_1,USER_State,USER_Zip_Code,USER_County_Name,USER_Certification_Date
World,M,84.000000000000000,A,"35406, Tuscaloosa, Alabama","35406, Tuscaloosa, AL, USA",35406,Postal,,35406,"Tuscaloosa, Alabama, 35406",,,4.500000000000000,,,,,,,,,,,,,,,,,,,,,,,,Tuscaloosa,,Tuscaloosa County,Alabama,AL,,,35406,,USA,United States,ENG,0.000000000000000,-87.517252600000006,33.269867200000000,-87.517252600000006,33.269867200000000,-87.627252600000006,-87.407252600000007,33.159867200000001,33.379867200000000,4128 CROSSHAVEN DRIVE,,,4128 CROSSHAVEN DRIVE,,,,,Tuscaloosa,AL,35406,,,11548,JOURNEY HOSPICE OF ALABAMA,4128 CROSSHAVEN DRIVE,AL,35406,Tuscaloosa,8/22/1996
World,M,99.530000000000001,A,"4115 N College Ave, Jackson, Alabama, 36545","4115 N College Ave, Jackson, AL, 36545, USA",4115 N College Ave,StreetAddress,,,"4115 N College Ave, Jackson, Alabama, 36545",,,20.000000000000000,,4115,4105,4149,4105-4149,L,N,,College,Ave,,,,,,,,,4115 N College Ave,,,,,Jackson,,Clarke,Alabama,AL,,,36545,2022,USA,United States,ENG,0.000000000000000,-87.877048968086001,31.555736097187001,-87.877048968086001,31.555736097187001,-87.878048968086006,-87.876048968085996,31.554736097187000,31.556736097186999,,,,4115 COLLEGE AVENUE,,,,,Clarke,AL,36545,,,11562,ASERACARE HOSPICE-JACKSON,4115 COLLEGE AVENUE,AL,36545,Clarke,10/23/1997
World,M,100.000000000000000,A,"4318 Downtowner Loop N, Suite R, Mobile, Alabama, 36609","4318 Downtowner Loop N, Suite R, Mobile, AL, 36609, USA","4318 Downtowner Loop N, Suite R",Subaddress,,,"4318 Downtowner Loop N, Suite R, Mobile, Alabama, 36609",,,20.000000000000000,,4318,,,,,,,Downtowner,Loop,N,,,,,Suite,R,Suite R,4318 Downtowner Loop N,,,,,Mobile,,Mobile County,Alabama,AL,,,36609,5508,USA,United States,ENG,0.000000000000000,-88.142356056785999,30.674217772053002,-88.142357984623999,30.674557993503001,-88.143357984624004,-88.141357984623994,30.673557993503000,30.675557993502998,,Commercial,Warehouse,"4318 DOWNTOWNER LOOP NORTH, SUITE R",,,,,Mobile,AL,36609,,,11558,ALABAMA HOSPICE CARE OF MOBILE,"4318 DOWNTOWNER LOOP NORTH, SUITE R",AL,36609,Mobile,10/3/1997
World,T,99.530000000000001,A,"482 McQueen Smith Rd N, Prattville, Alabama, 36066","482 McQueen Smith Rd N, Prattville, AL, 36066, USA",482 McQueen Smith Rd N,StreetAddress,,,"482 McQueen Smith Rd N, Prattville, Alabama, 36066",,,20.000000000000000,,482,494,470,470-494,L,,,McQueen Smith,Rd,N,,,,,,,,482 McQueen Smith Rd N,,,Highway 14 East,,Prattville,,Autauga,Alabama,AL,,,36066,5652,USA,United States,ENG,0.000000000000000,-86.420266732968997,32.475462598363997,-86.420266732968997,32.475462598363997,-86.421266732969002,-86.419266732969007,32.474462598363999,32.476462598364002,,,,482 MCQUEEN SMITH ROAD,,,,,Autauga,AL,36066,,,11561,ASERACARE HOSPICE,482 MCQUEEN SMITH ROAD,AL,36066,Autauga,12/9/1997
World,M,97.500000000000000,A,"715 6th Ave SE, Decatur, Alabama, 35601","715 6th Ave SE, Decatur, AL, 35601, USA",715 6th Ave SE,PointAddress,,,"715 6th Ave SE, Decatur, Alabama, 35601",,,20.000000000000000,,715,,,,,,,6th,Ave,SE,,,,,,,,715 6th Ave SE,,,,,Decatur,,Morgan County,Alabama,AL,,,35601,3019,USA,United States,ENG,0.000000000000000,-86.980213982509994,34.596938777062000,-86.980456638606000,34.596945063489002,-86.981456638606005,-86.979456638605996,34.595945063488998,34.597945063489000,AUTAUGA,Commercial,Retail,715 6TH AVENUE SE,,,,,Autauga,AL,35601,,,11566,ASERACARE HOSPICE-DECATUR,715 6TH AVENUE SE,AL,35601,Autauga,10/8/1997
World,M,97.530000000000001,A,"927 US Highway 80 E, Demopolis, Alabama, 36732","927 US Highway 80 E, Demopolis, AL, 36732, USA",927 US Highway 80 E,PointAddress,,,"927 US Highway 80 E, Demopolis, Alabama, 36732",,,20.000000000000000,,927,,,,,,,US Highway 80,,E,,,,,,,,927 US Highway 80 E,,,,,Demopolis,,Marengo,Alabama,AL,,,36732,3703,USA,United States,ENG,0.000000000000000,-87.827105889015996,32.503457079876000,-87.827080072754995,32.504070970465001,-87.828080072755000,-87.826080072755005,32.503070970464996,32.505070970464999,,Commercial,Retail,927 HIGHWAY 80 WEST,,,,,Marengo,AL,36732,,,11578,SOUTHERNCARE DEMOPOLIS,927 HIGHWAY 80 WEST,AL,36732,Marengo,1/4/2001
World,M,100.000000000000000,A,"1979 S Highway 21 Byp, Monroeville, Alabama, 36460","1979 S Highway 21 Byp, Monroeville, AL, 36460, USA",1979 S Highway 21 Byp,StreetAddress,,,"1979 S Highway 21 Byp, Monroeville, Alabama, 36460",,,20.000000000000000,,1979,1999,1845,1845-1999,R,S,,Highway 21,Byp,,,,,,,,,1979 S Highway 21 Byp,,,,,Monroeville,,Monroe,Alabama,AL,,,36460,3037,USA,United States,ENG,0.000000000000000,-87.317188242236000,31.505422609465999,-87.317188242236000,31.505422609465999,-87.318188242236005,-87.316188242235995,31.504422609466001,31.506422609466000,,,,1979 S HWY 21 BYPASS,,,,,Monroe,AL,36460,,,11567,ASERACARE HOSPICE-MONROEVILLE,1979 S HWY 21 BYPASS,AL,36460,Monroe,10/22/1997
World,T,100.000000000000000,A,"1735 Highway 77, Gadsden, Alabama, 35907","1735 Highway 77, Gadsden, AL, 35907, USA",1735 Highway 77,PointAddress,,,"1735 Highway 77, Gadsden, Alabama, 35907",,,20.000000000000000,,1735,,,,,,,Highway 77,,,,,,,,,,1735 Highway 77,,,,,Gadsden,,Etowah,Alabama,AL,,,35907,0169,USA,United States,ENG,0.000000000000000,-86.023489137191007,33.928249610555000,-86.022672991278995,33.928477011588001,-86.023672991279000,-86.021672991279004,33.927477011588003,33.929477011587998,,Commercial,,1735 HIGHWAY 77,,,,,Etowah,AL,35907,,,11579,COMPASSUS-GADSDEN,1735 HIGHWAY 77,AL,35907,Etowah,2/16/2001
World,M,100.000000000000000,A,"23 Jameson Ln, Greenville, Alabama, 36037","23 Jameson Ln, Greenville, AL, 36037, USA",23 Jameson Ln,PointAddress,,,"23 Jameson Ln, Greenville, Alabama, 36037",,,20.000000000000000,,23,,,,,,,Jameson,Ln,,,,,,,,,23 Jameson Ln,,,,,Greenville,,Butler,Alabama,AL,,,36037,8003,USA,United States,ENG,0.000000000000000,-86.642530237624001,31.852556281654000,-86.642910859847007,31.852498865617999,-86.643910859846997,-86.641910859847002,31.851498865618002,31.853498865618000,,Commercial,Office,23 JAMESON LANE,,,,,Butler,AL,36037,,,11582,COMFORT CARE HOSPICE OF GREENVILLE,23 JAMESON LANE,AL,36037,Butler,6/12/2001
World,M,100.000000000000000,A,"104 Rock Bridge Rd, Dothan, Alabama, 36303","104 Rock Bridge Rd, Dothan, AL, 36303, USA",104 Rock Bridge Rd,PointAddress,,,"104 Rock Bridge Rd, Dothan, Alabama, 36303",,,20.000000000000000,,104,,,,,,,Rock Bridge,Rd,,,,,,,,,104 Rock Bridge Rd,,,,,Dothan,,Houston,Alabama,AL,,,36303,2185,USA,United States,ENG,0.000000000000000,-85.430635533029999,31.253331802438002,-85.430755310427003,31.253621229554000,-85.431755310426993,-85.429755310426998,31.252621229553998,31.254621229554001,,Commercial,Retail,104 ROCK BRIDGE ROAD,,,,,Houston,AL,36303,,,11577,COVENANT HOSPICE INC - DOTHAN,104 ROCK BRIDGE ROAD,AL,36303,Houston,12/21/2000
World,M,100.000000000000000,A,"805 Friendship Rd, Tallassee, Alabama, 36078","805 Friendship Rd, Tallassee, AL, 36078, USA",805 Friendship Rd,PointAddress,,,"805 Friendship Rd, Tallassee, Alabama, 36078",,,20.000000000000000,,805,,,,,,,Friendship,Rd,,,,,,,,,805 Friendship Rd,,,,,Tallassee,,Elmore,Alabama,AL,,,36078,1234,USA,United States,ENG,0.000000000000000,-85.912117951509003,32.535282747137998,-85.912308723625003,32.533976930442002,-85.913308723624993,-85.911308723624998,32.532976930441997,32.534976930441999,,Commercial,Medical,805 FRIENDSHIP ROAD,,,,,Elmore,AL,36078,,,11583,COMMUNITY HOSPICE CARE,805 FRIENDSHIP ROAD,AL,36078,Elmore,6/13/2001
World,M,100.000000000000000,A,"115 Helton Ct, Florence, Alabama, 35630","115 Helton Ct, Florence, AL, 35630, USA",115 Helton Ct,PointAddress,,,"115 Helton Ct, Florence, Alabama, 35630",,,20.000000000000000,,115,,,,,,,Helton,Ct,,,,,,,,,115 Helton Ct,,,,,Florence,,Lauderdale,Alabama,AL,,,35630,1433,USA,United States,ENG,0.000000000000000,-87.666185082712005,34.832850249872003,-87.666184747436006,34.832715971783003,-87.667184747435996,-87.665184747436001,34.831715971782998,34.833715971783000,,Commercial,Office,115 HELTON COURT,,,,,Lauderdale,AL,35630,,,11592,HOSPICE OF TENNESSEE VALLEY INC,115 HELTON COURT,AL,35630,Lauderdale,12/18/2002
World,M,100.000000000000000,A,"1100 E Park Dr, Suite 303, Birmingham, Alabama, 35235","1100 E Park Dr, Suite 303, Birmingham, AL, 35235, USA","1100 E Park Dr, Suite 303",Subaddress,,,"1100 E Park Dr, Suite 303, Birmingham, Alabama, 35235",,,20.000000000000000,,1100,,,,,E,,Park,Dr,,,,,,Suite,303,Suite 303,1100 E Park Dr,,,,,Birmingham,,Jefferson,Alabama,AL,,,35235,2564,USA,United States,ENG,0.000000000000000,-86.680987918135003,33.587892709107997,-86.681389578934997,33.587878208416001,-86.682389578935002,-86.680389578935007,33.586878208416003,33.588878208415998,,Commercial,Office,"1100 EAST PARK DRIVE, SUITE 303",,,,,Jefferson,AL,35235,,,11591,"HOPE HOSPICE, INC","1100 EAST PARK DRIVE, SUITE 303",AL,35235,Jefferson,10/2/2002
World,M,98.000000000000000,A,"1215 Military St S, #B, Hamilton, Alabama, 35570","1215 Military St S, #B, Hamilton, AL, 35570, USA","1215 Military St S, #B",Subaddress,,,"1215 Military St S, #B, Hamilton, Alabama, 35570",,,20.000000000000000,,1215,,,,,,,Military,St,S,,,,,,B,#B,1215 Military St S,,,,,Hamilton,,Marion,Alabama,AL,,,35570,5004,USA,United States,ENG,0.000000000000000,-87.989799970755996,34.126515357814000,-87.989484140645004,34.126525667555001,-87.990484140644995,-87.988484140644999,34.125525667555003,34.127525667554998,,Commercial,Office,"1215 MILITARY STREET SOUTH - SUITE B, PO BOX 1357",,,,,Marion,AL,35570,,,11586,ASERACARE HOSPICE-HAMILTON,"1215 MILITARY STREET SOUTH - SUITE B, PO BOX 1357",AL,35570,Marion,2/6/2002
World,M,100.000000000000000,A,"1447 College Ave, Jackson, Alabama, 36545","1447 College Ave, Jackson, AL, 36545, USA",1447 College Ave,PointAddress,,,"1447 College Ave, Jackson, Alabama, 36545",,,20.000000000000000,,1447,,,,,,,College,Ave,,,,,,,,,1447 College Ave,,,,,Jackson,,Clarke,Alabama,AL,,,36545,2410,USA,United States,ENG,0.000000000000000,-87.894091293165999,31.525553805533001,-87.894387258167995,31.525741224888002,-87.895387258168000,-87.893387258168005,31.524741224888000,31.526741224887999,,Commercial,Office,1447 COLLEGE AVE,,,,,Clarke,AL,36545,,,11598,"HOMETOWN HOSPICE, INC",1447 COLLEGE AVE,AL,36545,Clarke,5/29/2003
World,T,100.000000000000000,A,"547 US-80 W, Demopolis, Alabama, 36732","547 US-80 W, Demopolis, AL, 36732, USA",547 US-80 W,StreetAddress,,,"547 US-80 W, Demopolis, Alabama, 36732",,,20.000000000000000,,547,537,587,537-587,L,,,US-80,,W,,,,,,,,547 US-80 W,,,,,Demopolis,,Marengo,Alabama,AL,,,36732,,USA,United States,ENG,0.000000000000000,-87.831834399261993,32.503684378789998,-87.831834399261993,32.503684378789998,-87.832834399261998,-87.830834399262002,32.502684378790001,32.504684378790003,,,,"547 U.S. HIGHWAY 80 WEST, SUITE 2",,,,,Marengo,AL,36732,,,11576,COMFORT CARE HOSPICE LLC,"547 U.S. HIGHWAY 80 WEST, SUITE 2",AL,36732,Marengo,3/23/2000
World,M,97.530000000000001,A,"1307 US Highway 80 E, Demopolis, Alabama, 36732","1307 US Highway 80 E, Demopolis, AL, 36732, USA",1307 US Highway 80 E,PointAddress,,,"1307 US Highway 80 E, Demopolis, Alabama, 36732",,,20.000000000000000,,1307,,,,,,,US Highway 80,,E,,,,,,,,1307 US Highway 80 E,,,,,Demopolis,,Marengo,Alabama,AL,,,36732,3717,USA,United States,ENG,0.000000000000000,-87.822211528113996,32.503276491771999,-87.822207337162993,32.503513448174999,-87.823207337162998,-87.821207337163003,32.502513448175002,32.504513448174997,,Commercial,Retail,1307 HWY 80 WEST,,,,,Marengo,AL,36732,,,11600,CAMELLIA HOSPICE - DEMOPOLIS,1307 HWY 80 WEST,AL,36732,Marengo,7/22/2003
World,M,100.000000000000000,A,"820 S Three Notch St, Suite C, Andalusia, Alabama, 36420","820 S Three Notch St, Suite C, Andalusia, AL, 36420, USA","820 S Three Notch St, Suite C",Subaddress,,,"820 S Three Notch St, Suite C, Andalusia, Alabama, 36420",,,20.000000000000000,,820,,,,,S,,Three Notch,St,,,,,,Suite,C,Suite C,820 S Three Notch St,,,,,Andalusia,,Covington,Alabama,AL,,,36420,5360,USA,United States,ENG,0.000000000000000,-86.494750076203999,31.298068534256000,-86.495052411450999,31.298515708789999,-86.496052411451998,-86.494052411450994,31.297515708790002,31.299515708790000,,Commercial,Retail,"820 SOUTH THREE NOTCH STREET, SUITE C",,,,,Covington,AL,36420,,,11597,COMFORT CARE HOSPICE OF ANDALUSIA,"820 SOUTH THREE NOTCH STREET, SUITE C",AL,36420,Covington,5/14/2003
World,M,97.969999999999999,A,"344 Franklin Ave, Gilbertown, Alabama, 36908","344 Franklin Ave, Gilbertown, AL, 36908, USA",344 Franklin Ave,StreetAddress,,,"344 Franklin Ave, Gilbertown, Alabama, 36908",,,20.000000000000000,,344,354,326,326-354,L,,,Franklin,Ave,,,,,,,,,344 Franklin Ave,,,,,Gilbertown,,Choctaw,Alabama,AL,,,36908,5705,USA,United States,ENG,0.000000000000000,-88.320441545991997,31.875783655325002,-88.320441545991997,31.875783655325002,-88.321441545992002,-88.319441545992007,31.874783655325000,31.876783655324999,,,,344 FRANKLIN STREET,,,,,Choctaw,AL,36908,,,11604,"LEGACY HOSPICE OF THE EAST, LLLP",344 FRANKLIN STREET,AL,36908,Choctaw,8/28/2003
World,M,100.000000000000000,A,"2800 Dauphin St, Suite 103, Mobile, Alabama, 36606","2800 Dauphin St, Suite 103, Mobile, AL, 36606, USA","2800 Dauphin St, Suite 103",Subaddress,,,"2800 Dauphin St, Suite 103, Mobile, Alabama, 36606",,,20.000000000000000,,2800,,,,,,,Dauphin,St,,,,,,Suite,103,Suite 103,2800 Dauphin St,,,,,Mobile,,Mobile County,Alabama,AL,,,36606,2400,USA,United States,ENG,0.000000000000000,-88.107648355936007,30.688511389628001,-88.107533942958000,30.689332732320000,-88.108533942958005,-88.106533942957995,30.688332732319999,30.690332732320002,,Commercial,Office,"2800 DAUPHIN STREET, SUITE 103",,,,,Mobile,AL,36606,,,11605,KINDRED HOSPICE-MOBILE,"2800 DAUPHIN STREET, SUITE 103",AL,36606,Mobile,8/28/2003
World,M,99.000000000000000,A,"201 W Lee St, Enterprise, Alabama, 36330","201 W Lee St, Enterprise, AL, 36330, USA",201 W Lee St,PointAddress,,,"201 W Lee St, Enterprise, Alabama, 36330",,,20.000000000000000,,201,,,,,W,,Lee,St,,,,,,,,,201 W Lee St,,,,,Enterprise,,Coffee,Alabama,AL,,,36330,2424,USA,United States,ENG,0.000000000000000,-85.856083503856993,31.314447862708001,-85.855981076999996,31.314282068663001,-85.856981077000000,-85.854981077000005,31.313282068663000,31.315282068662999,,Commercial,,201 WEST LEE STREET,,,,,Coffee,AL,36331,,,11603,"DAYSPRING HOSPICE, LLC",201 WEST LEE STREET,AL,36331,Coffee,7/24/2003
World,M,100.000000000000000,A,"3615 S Railroad St, Phenix City, Alabama, 36867","3615 S Railroad St, Phenix City, AL, 36867, USA",3615 S Railroad St,PointAddress,,,"3615 S Railroad St, Phenix City, Alabama, 36867",,,20.000000000000000,,3615,,,,,S,,Railroad,St,,,,,,,,,3615 S Railroad St,,,,,Phenix City,,Russell,Alabama,AL,,,36867,2940,USA,United States,ENG,0.000000000000000,-85.039234685264006,32.496103049486997,-85.039385978615996,32.495849999830000,-85.040385978616001,-85.038385978616006,32.494849999830002,32.496849999829998,,Commercial,Retail,"3615 SOUTH RAILROAD STREET, SUITE 3",,,,,Russell,AL,36867,,,11602,GENTIVA HOSPICE - PHENIX CITY,"3615 SOUTH RAILROAD STREET, SUITE 3",AL,36867,Russell,6/5/2003
